reference ,created_time                ,updated_time                ,account_reference ,amount   ,settled_time
6P4Wn7hF  ,2025-01-05T14:46:29.232441Z ,2025-01-05T14:46:29.232441Z ,hWeU9mSG          ,0        ,2025-01-05T00:00:00Z
Bpfch4wv  ,2025-01-05T14:47:42.086974Z ,2025-01-05T14:47:42.086974Z ,efpmBxpS          ,20001    ,2025-01-05T00:00:00Z
WGJD5cgT  ,2025-01-05T14:49:05.544449Z ,2025-01-05T14:49:05.544449Z ,W3Lz4U2i          ,5210.95  ,2025-01-05T00:00:00Z
rauR2Eak  ,2025-01-05T14:49:21.507008Z ,2025-01-05T14:49:21.507008Z ,w9KXfqC6          ,1755.24  ,2025-01-05T00:00:00Z
pGUGgues  ,2025-01-05T14:49:38.718110Z ,2025-01-05T14:49:38.718110Z ,XHGYEFBk          ,13670.29 ,2025-01-05T00:00:00Z
A8uSiHym  ,2025-01-05T14:50:32.570726Z ,2025-01-05T14:50:32.570726Z ,ekrV3GbM          ,2422.03  ,2025-01-05T00:00:00Z
bKbjzSL5  ,2025-01-05T15:10:22.000452Z ,2025-01-05T15:10:22.000452Z ,WeVFcpFj          ,100022   ,2025-01-05T00:00:00Z

TvEeCrJi  ,2025-02-08T04:01:24.487836Z ,2025-02-08T04:01:24.487836Z ,WeVFcpFj          ,93299    ,2025-02-08T00:00:00Z
NtnbqjMR  ,2025-02-08T04:02:16.464491Z ,2025-02-08T04:02:16.464491Z ,ekrV3GbM          ,3812.77  ,2025-02-08T00:00:00Z
4btmtYUp  ,2025-02-08T04:02:37.417530Z ,2025-02-08T04:02:37.417530Z ,XHGYEFBk          ,13300.03 ,2025-02-08T00:00:00Z
jCooKQyQ  ,2025-02-08T04:03:13.490952Z ,2025-02-08T04:03:13.490952Z ,w9KXfqC6          ,989.26   ,2025-02-08T00:00:00Z
CMJ8bt83  ,2025-02-08T04:03:27.522791Z ,2025-02-08T04:03:27.522791Z ,W3Lz4U2i          ,5228.97  ,2025-02-08T00:00:00Z
UfyshsBN  ,2025-02-08T04:06:03.227451Z ,2025-02-08T04:06:03.227451Z ,cHd76DUN          ,-14014   ,2025-02-08T00:00:00Z
KWFEz8Kd  ,2025-02-08T04:06:29.727002Z ,2025-02-08T04:06:29.727002Z ,uHAYzo9i          ,39539    ,2025-02-08T00:00:00Z
ShWhtbCN  ,2025-02-08T04:06:48.600213Z ,2025-02-08T04:06:48.600213Z ,oo3dKjpa          ,10196    ,2025-02-08T00:00:00Z
WDqLujFK  ,2025-02-08T04:07:10.248994Z ,2025-02-08T04:07:10.248994Z ,FowrhphW          ,289831   ,2025-02-08T00:00:00Z
Q4UiVD3p  ,2025-02-08T04:07:43.266207Z ,2025-02-08T04:07:43.266207Z ,xa3Y4mos          ,814093   ,2025-02-08T00:00:00Z
dUALrbPQ  ,2025-02-08T04:11:28.136519Z ,2025-02-08T04:11:28.136519Z ,afXaDo5U          ,871440   ,2025-02-08T00:00:00Z
XpU2vXX6  ,2025-02-08T04:12:14.295478Z ,2025-02-08T04:12:14.295478Z ,TA23Za6E          ,46640    ,2025-02-08T00:00:00Z
RyyQbCiY  ,2025-02-08T04:13:55.591181Z ,2025-02-08T04:13:55.591181Z ,26CACQcy          ,0        ,2025-02-08T00:00:00Z
q7UfeZ3s  ,2025-02-08T04:14:08.421675Z ,2025-02-08T04:14:08.421675Z ,tQqodHcm          ,318037   ,2025-02-08T00:00:00Z
DSWcfg9a  ,2025-02-08T04:14:40.483163Z ,2025-02-08T04:14:40.483163Z ,xDSpGPK7          ,275026   ,2025-02-08T00:00:00Z
ir7KTNhN  ,2025-02-08T04:15:04.449077Z ,2025-02-08T04:15:04.449077Z ,SZjph9v8          ,84791    ,2025-02-08T00:00:00Z
DahyCkD6  ,2025-02-08T04:15:48.619969Z ,2025-02-08T04:15:48.619969Z ,Bs36Lr9f          ,-4467674 ,2025-02-08T00:00:00Z
fUomvA9x  ,2025-02-08T04:16:02.405162Z ,2025-02-08T04:16:02.405162Z ,FXSs9CVf          ,781197   ,2025-02-08T00:00:00Z
hWcBDumj  ,2025-02-08T04:16:50.679693Z ,2025-02-08T04:16:50.679693Z ,BKugABq9          ,17272    ,2025-02-08T00:00:00Z
f6meK8q4  ,2025-02-08T04:17:11.183211Z ,2025-02-08T04:17:11.183211Z ,yy7yR7mw          ,54199    ,2025-02-08T00:00:00Z
fWQ5sr5f  ,2025-02-08T04:17:21.725992Z ,2025-02-08T04:17:21.725992Z ,nNMBYWD3          ,24143    ,2025-02-08T00:00:00Z
FZ8Ec9Xy  ,2025-02-08T04:20:53.352331Z ,2025-02-08T04:20:53.352331Z ,2QPjQx6A          ,2052     ,2025-02-08T00:00:00Z
