reference ,created_time                ,updated_time                ,account_reference ,amount   ,settled_time
o88VggQC  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,FXSs9CVf          ,1366360  ,2024-07-05T08:00:00Z
UmJSz4A4  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,SZjph9v8          ,40472    ,2024-07-05T08:00:00Z
mn6EiQja  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,xDSpGPK7          ,306572   ,2024-07-05T08:00:00Z
iBQbxun9  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,tQqodHcm          ,77274    ,2024-07-05T08:00:00Z
W5zjj5Dk  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,TA23Za6E          ,58897    ,2024-07-05T08:00:00Z
87GzK3UD  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,xa3Y4mos          ,1656914  ,2024-07-05T08:00:00Z
sxkiQuHM  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,oo3dKjpa          ,9284     ,2024-07-05T08:00:00Z
NU7shmt4  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,uHAYzo9i          ,115825   ,2024-07-05T08:00:00Z
dEf5b97c  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,FowrhphW          ,680629   ,2024-07-05T08:00:00Z

Yhbuqtop  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,XHGYEFBk          ,218.26   ,2024-08-05T08:00:00Z
uhtZqcUF  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,ekrV3GbM          ,1663.04  ,2024-08-05T08:00:00Z
DaeTyiCm  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,W3Lz4U2i          ,2063.51  ,2024-08-05T08:00:00Z
Ab2eD4fm  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,w9KXfqC6          ,1246.74  ,2024-08-05T08:00:00Z
8XexdmG8  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,BKugABq9          ,14470    ,2024-08-05T08:00:00Z
nLJu7duA  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,yy7yR7mw          ,49089    ,2024-08-05T08:00:00Z
pCNQ9t55  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,nNMBYWD3          ,49949    ,2024-08-05T08:00:00Z
